rating,playtime,achievements_count,game_series_count,reviews_count
0.0,5,12,0,5
0.0,3,9,0,1
3.33,0,0,0,12
3.67,1,59,0,18
0.0,0,0,0,0
0.0,3,36,0,5
3.52,3,63,0,50
0.0,0,0,0,1
0.0,0,0,0,1
2.18,6,29,0,17
2.71,1,21,0,7
0.0,0,0,0,0
4.18,27,0,20,11
0.0,0,0,0,0
3.19,5,141,6,110
3.92,3,66,1,138
3.52,3,99,1,122
0.0,4,16,0,2
3.17,4,39,0,6
0.0,5,37,0,2
3.57,1,0,0,21
3.33,3,12,0,6
4.27,7,0,0,11
3.73,6,0,20,11
3.18,6,0,0,11
4.11,7,0,0,9
0.0,3,25,0,2
0.0,4,14,0,4
0.0,0,0,0,1
0.0,2,36,0,4
0.0,0,17,0,0
2.56,1,0,0,9
0.0,4,31,0,1
4.18,5,0,20,11
0.0,0,0,0,1
3.44,6,0,0,9
3.85,6,0,20,13
0.0,0,0,0,0
3.82,7,0,20,17
3.7,7,147,5,916
3.26,1,0,0,498
3.33,1,0,0,619
4.1,6,0,0,10
0.0,0,0,0,0
4.0,8,0,0,8
3.6,19,0,0,10
4.0,2,22,0,6
3.27,1,42,0,11
0.0,1,74,0,2
3.85,2,0,0,13
3.68,3,90,0,103
3.89,14,236,1,1701
3.99,5,76,0,595
3.75,1,0,3,141
0.0,0,0,0,0
0.0,1,0,0,0
3.5,6,56,0,14
0.0,1,0,0,2
4.19,1,22,3,296
3.89,5,60,0,625
4.1,9,166,2,2116
4.09,3,0,2,226
0.0,1,0,0,0
2.5,0,40,0,6
0.0,2,59,0,1
3.0,2,18,0,17
3.78,2,35,0,18
3.1,4,108,0,10
3.0,1,15,0,6
4.22,3,24,0,240
4.02,3,84,0,49
0.0,0,0,0,0
0.0,0,0,0,0
3.73,2,96,12,147
2.87,3,163,0,23
0.0,0,0,0,0
0.0,0,0,0,1
0.0,0,0,0,0
0.0,11,16,0,0
2.28,6,53,0,39
3.86,1,0,0,7
3.75,3,163,0,36
2.78,1,26,0,172
2.59,7,108,0,17
0.0,4,64,0,1
0.0,1,115,0,2
0.0,4,4,0,1
2.09,1,36,0,34
0.0,1,0,0,0
3.64,2,20,0,14
0.0,1,29,0,1
0.0,0,0,0,0
0.0,5,38,0,2
0.0,4,0,0,3
0.0,1,3,1,2
0.0,0,0,0,0
3.76,8,73,0,58
0.0,0,20,0,1
0.0,0,0,0,0
0.0,0,0,0,0
0.0,1,2,0,2
0.0,0,0,0,0
4.28,8,54,7,39
0.0,0,0,0,0
3.91,2,46,0,33
0.0,17,12,0,0
3.22,1,0,0,59
3.65,1,0,0,88
0.0,0,0,0,0
3.91,1,79,0,364
3.14,2,99,0,35
1.75,4,0,0,12
0.0,27,0,0,3
2.25,1,12,0,67
2.98,1,22,0,137
0.0,0,0,0,1
2.72,1,0,0,103
0.0,0,0,0,0
0.0,4,73,0,5
0.0,2,56,0,4
2.89,2,64,0,53
0.0,1,0,0,3
0.0,1,101,0,0
0.0,1,89,0,5
4.02,6,110,0,171
2.63,1,75,0,67
0.0,1,20,0,1
0.0,3,61,0,4
0.0,1,0,0,0
0.0,0,0,0,0
0.0,0,0,0,0
0.0,4,0,0,0
1.67,1,0,0,6
0.0,0,0,0,0
0.0,2,0,0,2
4.44,6,150,0,1222
0.0,0,0,0,0
0.0,0,0,0,0
0.0,1,54,0,0
0.0,0,0,0,0
3.31,0,172,28,386
0.0,4,0,0,4
0.0,3,32,0,2
0.0,1,17,0,1
0.0,0,0,0,0
3.2,3,73,0,25
4.29,7,31,1,1403
0.0,0,0,0,0
0.0,0,25,0,1
0.0,2,58,0,1
3.24,1,28,0,176
3.88,0,0,2,8
3.85,1,0,0,245
0.0,0,0,0,0
3.29,3,38,0,91
0.0,5,19,0,2
2.38,3,52,0,24
0.0,4,0,0,1
4.0,1,0,0,160
4.02,3,0,0,168
4.19,3,0,0,187
0.0,0,0,0,0
0.0,2,12,0,0
0.0,0,0,0,0
0.0,1,0,0,5
0.0,0,0,0,0
2.89,1,45,0,80
0.0,10,25,0,2
0.0,0,0,0,0
2.58,1,37,0,65
3.71,2,83,0,155
3.6,0,0,11,10
3.04,5,91,0,24
0.0,3,17,0,2
0.0,1,30,0,2
3.39,5,111,0,493
3.91,5,73,0,169
3.79,7,77,0,201
4.39,0,0,19,197
3.5,2,57,0,10
2.05,4,92,0,20
0.0,0,0,0,0
4.75,0,0,0,8
3.27,1,0,0,63
3.38,1,22,0,13
0.0,4,33,0,1
0.0,3,43,0,4
3.67,3,0,0,12
4.0,8,43,0,16
0.0,4,21,0,5
2.33,9,2,0,6
0.0,0,0,0,0
0.0,0,0,0,0
0.0,3,0,0,0
2.65,1,30,0,17
4.0,3,96,0,13
0.0,0,0,0,0
3.54,6,119,0,441
3.51,3,81,0,90
3.33,5,35,0,120
0.0,12,0,0,0
4.19,5,157,0,576
0.0,3,41,0,0
0.0,2,31,0,1
0.0,1,0,0,5
0.0,0,0,0,0
3.4,2,50,0,67
0.0,0,0,0,0
0.0,3,8,0,2
2.43,2,13,0,14
0.0,0,0,0,1
0.0,0,0,0,0
0.0,1,35,0,0
0.0,0,0,0,0
3.47,5,46,0,118
0.0,0,0,0,0
3.98,2,0,0,41
0.0,0,0,0,0
0.0,0,0,0,0
0.0,0,0,0,0
3.33,3,18,0,33
2.59,6,59,0,32
0.0,5,29,0,1
0.0,0,0,0,0
4.56,2,17,0,9
2.95,3,34,1,64
2.68,1,17,0,28
0.0,0,0,0,0
4.0,2,0,0,6
4.36,0,0,0,75
3.85,2,42,0,136
0.0,5,15,0,2
2.78,0,154,0,9
3.39,3,18,0,18
4.26,4,1,2,747
2.09,2,38,0,35
4.86,0,0,0,7
0.0,4,56,0,3
3.83,5,0,0,6
0.0,2,18,0,4
0.0,0,0,0,1
3.71,3,46,0,7
0.0,5,95,0,4
0.0,3,30,0,1
0.0,0,146,0,0
3.35,0,100,0,57
0.0,4,88,0,5
0.0,3,5,0,1
0.0,0,0,0,0
0.0,0,0,0,1
0.0,0,0,0,0
3.68,23,122,13,1370
3.11,0,12,0,9
0.0,0,10,0,4
0.0,4,0,0,0
0.0,0,0,0,0
0.0,0,12,0,0
0.0,4,0,0,2
0.0,0,0,0,0
4.22,5,36,3,122
0.0,0,0,0,0
2.31,4,30,0,16
0.0,3,27,0,2
0.0,4,38,0,1
0.0,4,197,0,2
0.0,1,27,0,2
3.93,4,82,0,258
0.0,5,26,0,0
0.0,0,0,0,0
3.83,3,0,0,6
3.87,4,56,0,60
0.0,0,0,0,0
4.33,5,98,0,269
3.33,2,40,0,51
1.8,4,0,0,10
3.08,3,21,0,12
0.0,4,84,0,3
0.0,4,160,0,1
0.0,8,41,0,2
4.12,3,25,0,84
0.0,0,0,0,1
2.89,4,164,0,9
0.0,0,0,0,0
3.81,11,397,22,1044
4.21,9,129,7,350
3.98,3,0,0,249
3.71,37,261,18,69
0.0,4,13,0,2
2.0,3,61,0,9
3.5,1,42,0,26
3.43,3,0,0,236
0.0,0,0,0,1
0.0,5,41,0,0
2.88,1,30,0,120
2.67,3,66,0,15
0.0,0,0,0,0
2.19,2,0,0,64
3.19,2,82,0,26
4.11,6,138,2,1056
4.52,4,15,2,3069
4.5,7,33,2,2526
0.0,0,0,0,0
0.0,4,10,0,3
0.0,8,0,0,1
2.75,1,7,0,8
4.32,4,20,0,1060
3.18,3,0,0,131
0.0,0,0,0,0
0.0,5,0,0,0
3.89,1,0,0,18
0.0,1,0,0,2
0.0,0,0,0,1
1.71,3,0,0,7
0.0,4,39,0,1
4.34,5,1,0,1093
4.3,25,286,5,1400
0.0,0,0,0,0
0.0,0,0,0,1
0.0,1,0,0,0
3.62,1,3,2,804
0.0,0,0,0,0
2.46,3,78,0,13
0.0,0,0,0,0
3.9,1,0,0,10
0.0,3,30,0,0
0.0,1,0,0,1
0.0,0,20,0,1
3.22,23,112,5,791
0.0,0,0,0,0
0.0,0,67,0,2
0.0,5,1,0,1
0.0,1,0,0,3
3.33,1,0,0,6
3.47,5,65,1,195
3.44,1,27,0,9
0.0,4,10,0,1
2.7,4,85,0,23
3.57,3,26,0,7
0.0,2,30,0,1
2.25,3,53,0,104
4.27,32,65,2,22
0.0,4,132,0,3
0.0,1,40,0,0
0.0,0,0,0,2
0.0,1,0,0,3
0.0,10,18,0,1
4.38,2,0,8,636
0.0,4,31,0,5
4.28,3,0,0,152
4.14,4,37,0,7
0.0,0,0,0,0
0.0,4,7,0,1
0.0,0,0,0,1
3.92,3,33,0,226
